Millis,Battery Voltage,SOC,DCL,Working Voltage,Speed
2675527,12,0.75,40,11.8,99
2676028,12,0.75,40,11.7,99
2676529,12,0.75,40,11.7,99
2677030,12,0.75,40,11.8,99
2677531,12,0.75,40,11.8,99
2678032,12,0.75,40,11.8,99
2678533,12,0.75,40,11.7,99
2679034,12,0.75,40,11.8,99
2679546,12,0.75,40,11.8,99
2680047,12,0.75,40,11.8,99
2680548,12,0.75,40,11.8,99
2681049,12,0.75,40,11.8,99
2681550,12,0.75,40,11.8,99
2682051,12,0.75,40,11.7,99
2682552,12,0.75,40,11.7,99
2683053,12,0.75,40,11.7,99
2683554,12,0.75,40,11.7,99
2684055,12,0.75,40,11.8,99
2684556,12,0.75,40,11.8,99
2685057,12,0.75,40,11.7,99
2685558,12,0.75,40,11.7,99
2686059,12,0.75,40,11.8,99
2686560,12,0.75,40,11.7,99
2687061,12,0.75,40,11.8,99
2687562,12,0.75,40,11.8,99
2688063,12,0.75,40,11.7,99
2688564,12,0.75,40,11.7,99
2689065,12,0.75,40,11.8,99
2689566,12,0.75,40,11.8,99
2690067,12,0.75,40,11.8,99
2690568,12,0.75,40,11.7,99
2691069,12,0.75,40,11.7,99
2691570,12,0.75,40,11.8,99
2692071,12,0.75,40,11.7,99
2692572,12,0.75,40,11.8,99
2693073,12,0.75,40,11.8,99
2693585,12,0.75,40,11.8,99
2694086,12,0.75,40,11.8,99
2694587,12,0.75,40,11.7,99
2695088,12,0.75,40,11.8,99
2695589,12,0.75,40,11.8,99
2696090,12,0.75,40,11.8,99
2696591,12,0.75,40,11.8,99
2697092,12,0.75,40,11.7,99
2697593,12,0.75,40,11.7,99
2698094,12,0.75,40,11.8,99
2698595,12,0.75,40,11.8,99
2699096,12,0.75,40,11.8,99
2699597,12,0.75,40,11.8,99
2700098,12,0.75,40,11.8,99
2700599,12,0.75,40,11.7,99
2701100,12,0.75,40,11.7,99
2701601,12,0.75,40,11.8,99
2702102,12,0.75,40,11.8,99
2702603,12,0.75,40,11.8,99
2703104,12,0.75,40,11.8,99
2703605,12,0.75,40,11.8,99
2704106,12,0.75,40,11.8,99
2704607,12,0.75,40,11.8,99
2705108,12,0.75,40,11.8,99
2705609,12,0.75,40,11.8,99
2706110,12,0.75,40,11.8,99
2706611,12,0.75,40,11.7,99
2707112,12,0.75,40,11.7,99
2707624,12,0.75,40,11.7,99
2708125,12,0.75,40,11.7,99
2708626,12,0.75,40,11.7,99
2709127,12,0.75,40,11.8,99
2709628,12,0.75,40,11.8,99
2710129,12,0.75,40,11.8,99
2710630,12,0.75,40,11.8,99
2711131,12,0.75,40,11.7,99
2711632,12,0.75,40,11.7,99
2712133,12,0.75,40,11.7,99
2712634,12,0.75,40,11.8,99
2713135,12,0.75,40,11.8,99
2713636,12,0.75,40,11.7,99
2714137,12,0.75,40,11.8,99
2714638,12,0.75,40,11.7,99
2715139,12,0.75,40,11.8,99
2715640,12,0.75,40,11.8,99
2716141,12,0.75,40,11.7,99
2716642,12,0.75,40,11.8,99
2717143,12,0.75,40,11.8,99
2717644,12,0.75,40,11.7,99
2718145,12,0.75,40,11.7,99
2718646,12,0.75,40,11.7,99
2719147,12,0.75,40,11.7,99
2719648,12,0.75,40,11.7,99
2720149,12,0.75,40,11.8,99
2720650,12,0.75,40,11.8,99
2721151,12,0.75,40,11.8,99
2721663,12,0.75,40,11.7,99
2722164,12,0.75,40,11.7,99
2722665,12,0.75,40,11.8,99
2723166,12,0.75,40,11.8,99
2723667,12,0.75,40,11.8,99
2724168,12,0.75,40,11.7,99
2724669,12,0.75,40,11.8,99
2725170,12,0.75,40,11.8,99
2725671,12,0.75,40,11.7,99
2726172,12,0.75,40,11.7,99
2726673,12,0.75,40,11.7,99
2727174,12,0.75,40,11.7,99
2727675,12,0.75,40,11.8,99
2728176,11.9,0.75,40,11.7,99
2728677,12,0.75,40,11.7,99
2729178,12,0.75,40,11.7,99
2729679,12,0.75,40,11.7,99
2730180,12,0.75,40,11.7,99
2730681,12,0.75,40,11.8,99
2731182,12,0.75,40,11.7,99
2731683,12,0.75,40,11.7,99
2732184,12,0.75,40,11.8,99
2732685,12,0.75,40,11.8,99
2733186,12,0.75,40,11.7,99
2733687,12,0.75,40,11.8,99
2734188,12,0.75,40,11.8,99
